trackName,artistName,genre
Don't You Worry,Mark Ambor,
Done for Me (feat. Kehlani),Charlie Puth,pop
DonвЂ™t Go (with Justin Bieber & Don Toliver),Skrillex,brostep
DonвЂ™t Lie (feat. KARRA),Tisoki,brostep
DonвЂ™t Wake Me Up,Jonas Blue,pop
Doobey (From "Gehraiyaan"),OAFF,
Doodoodoo,Curtis Waters,
Dopamine Addict,Alec Benjamin,alt z
Dope on a Rope,The Growlers,garage rock revival
Dormant,Kurt Stewart,lo-fi study
DotA - Radio Edit,Basshunter,eurodance
Dou Pal,Taha G,pakistani hip hop
Down,Marian Hill,electropop
Down By The Water,PJ Harvey,alternative rock
Down for You - Remix,Cosmo's Midnight,australian dance
Down the Line,Beach Fossils,brooklyn indie
Downhill,Lund,cloud rap
Downtime,Project AER,ambient guitar
Downtown (2020),Allie X,alt z
Downtown (feat. Melle Mel, Grandmaster Caz,Macklemore & Ryan Lewis,292593.0,4.0
Dragonspine Snow (LoFi),Jordy Chandra,anime lo-fi
Dragostea Din Tei,O-Zone,eurodance
Dragostea Din Tei,SP3CTRUM,covertronica
Dragostea din tei,O-Zone,eurodance
Dream No More (feat. Ruel & Genesis Owusu),Billy Davis,australian r&b
Dream No More (feat. Ruel & Genesis Owusu) - Acoustic Version,Billy Davis,australian r&b
Dream On,Aerosmith,album rock
Dream lantern,RADWIMPS,j-pop
Dreamer,Axwell /\ Ingrosso,edm
Dreamer,Low Roar,icelandic indie
Dreamin (with blackbear),The Score,modern alternative rock
Dreaming,Smallpools,hopebeat
Dreaming of the Crash,Hans Zimmer,german soundtrack
Dreams,Bazzi,pop
Dreams,RUNN,melodic dubstep
Dreams - 2004 Remaster,Fleetwood Mac,album rock
Dressed Up In White,CAL,
Drift Away,Yasumu,lo-fi study
Drifting,Jisatsu,anime lo-fi
Drink About - Clean Bandit Remix,Seeb,pop dance
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop
Drive,Dxvn.,dark r&b
Drop the Other,Emika,
Drown,Dabin,canadian electronic
Drowning - Sped Up Version,sped up nightcore,nightcore
Drugs,UPSAHL,alt z
Drugs & The Internet,Lauv,pop
Drunken Sailor,Sean Dagher,shanty
Drunken Sailor,The Irish Rovers,canadian celtic
Duckbot,Mike Shinoda,alternative hip hop
Dude She's Just Not into You,MADAX,sped up
Dude She's Just Not into You (Tiktok Lofi Chillhop),Lofi Night Drives,lo-fi product
Dumb Love,Mimi Webb,alt z
Dus Bahane,Shaan,filmi
Dusk,Yasumu,lo-fi study
Dust,Hans Zimmer,german soundtrack
Dust,Lund,cloud rap
Dust,The Neighbourhood,modern alternative rock
Dynamite,Taio Cruz,dance pop
Dynasty,MIIA,norwegian pop
DГјsseldorf,Teleman,chamber psych
E.M.A,Hiroyuki Sawano,anime score
ETA,Aries,
ETERNAL NIGHT,SXULCVTCHER,drift phonk
EUPHORIA,DVRKLXGHT,chill phonk
EVIL,AViVA,alt z
EVIL PHONK,DJ CHANSEY,aggressive phonk
Each Other,Notaker,
Ease My Mind,Skrillex,brostep
Ease Your Mind,Dimension 32,lo-fi sleep
Easier,5 Seconds of Summer,boy band
Easier to Run,Linkin Park,alternative metal
Easier вЂ“ Remix (with Charlie Puth),5 Seconds of Summer,boy band
Eastside (with Halsey & Khalid),benny blanco,pop
Easy,Camila Cabello,dance pop
Easy Way Out,Low Roar,icelandic indie
Echo (with KSHMR),Armaan Malik,filmi
Echo-216,Gareth Coker,video game music
Eden,Monkey Majik,j-pop
Eenie Meenie,Sean Kingston,dance pop
Eggsy Is Back,Henry Jackman,british soundtrack
Egirey Mabbulona,KK,filmi
Ego Death (feat. Kanye West, FKA twigs & Skrillex),12735,4.0
Eh...eh,Nic Howell,
Ek Duje Ke Vaaste,Uttam Singh,classic bollywood
Ek Hasina Thi Ek Diwana Tha,Kishore Kumar,classic bollywood
El Gringo,Alessandro Alessandroni,italian library music
Electric,MOON,gym phonk
Electric Feel,TEEMID,new french touch
Electric Love,BГRNS,indie poptimism
Electric Soul,Wolfgang Gartner,complextro
Electricity (with Dua Lipa),Silk City,edm
Elephant,Tame Impala,australian psych
Elephant In The Room,Confetti,la pop
Elevate (feat. Denzel Curry, YBN Cordae, Trevor Rich),https://api.spotify.com/v1/audio-analysis/6kiauSlWtddVQx4JwJx51p,219400.0,4.0
Elevation - Jack Antonoff Remix,Erasure,new romantic
Elliot's Song - From "Euphoria" An HBO Original Series,Dominic Fike,alternative pop rock
Emerald Eyes,Anson Seabra,alt z
Emma,Steven Price,british soundtrack
Emo Rhapsody,TOMYGONE,traprun
Emotion,Mia Rodriguez,alt z
Empty,Olivia O'Brien,alt z
Empty Cups,Charlie Puth,pop
Empty Eyes,Munn,singer-songwriter pop
Empty Love (Ft. Ruel) - Acoustic,GRACEY,uk pop
Empty Room,Rishi,
Empty Spaces,Linkin Park,alternative metal
En Mi Cuarto,Jhayco,reggaeton
End Credits (From "Cast Away"),Alan Silvestri,
End Of The Night,Danny Avila,
Endless,Antonius B,
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,modern rock
Enjoy The Weather,Chris James,singer-songwriter pop
Enough,Braden Ross,
Enslaved,Barren Gates,traprun
Enter Sandman,Metallica,hard rock
Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],Linkin Park,alternative metal
Epilogue,JГіhann JГіhannsson,compositional ambient
Episode 1 - Easy self-introduction ,Learn Japanese with Masa sensei! ,
Episode 1: emiem x blue bird,3minem-norute,
Episode 2 - How to make negative sentence,Learn Japanese with Masa sensei! ,
Equestrian Trail Freestyle #2,Jaden,pop rap
Escalator,Ritt Momney,bedroom pop
Escharum,Gareth Coker,video game music
Essence of the Forest,Mondo Loops,lo-fi sleep
Eudaimonia,Gaea Antoniou,sleep
Eugene Onegin (Lyrical scenes in three acts) (Act 1): Introduction,Pyotr Ilyich Tchaikovsky,classical
Even If,MercyMe,ccm
Even If It's a Lie - Demo,Matt Maltese,indie anthem-folk
Even When The Water's Cold,!!!,alternative dance
Evening (From "Naruto"),Pearboi,
Evening Rain,DaniSogen,japanese chillhop
Eventually,Tame Impala,australian psych
Everlasting Ego,Lvly,scandipop
Every Letter - Radio Edit,Haley Bennett,
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band
Everybody But Me,Nick Wilson,indie anthem-folk
Everybody Dies In Their Nightmares,XXXTENTACION,emo rap
Everybody Loves You,Charlotte Lawrence,alt z
Everyone Adores You (at least I do),Matt Maltese,indie anthem-folk
Everything At Your Feet (feat. The Chamanas),ODESZA,
Everything Black,Unlike Pluto,
Everything Goes On,Porter Robinson,complextro
Everything Has Changed,Taylor Swift,pop
Everything I Wanted,Chris James,singer-songwriter pop
Everything Is Mildly Uncomfortable,Sean Kennedy,modern alternative pop
Everything We Do Is Wrong,Tuvaband,pop folk
Everything's Good - slowed + reverb,Phil Good,la pop
Evoking memories,RADWIMPS,j-pop
Excuses,AP Dhillon,desi hip hop
Excuses x Bewafa x Attention - Slowed & Reverb,Lord Arkh,
Exhausted,Lxst,sad rap
Exil,Hiboky,anime phonk
Exist For Love,AURORA,art pop
Expand The Room - 4 Storeys High Mix,The Light,classic progressive house
Experience,Ludovico Einaudi,bow pop
Expert Jatt,Nawab,desi hip hop
Eye-Water,Hiroyuki Sawano,anime score
Eye-Water (From "Attack on Titan") - Lofi Version,Jimmy's Atelier,
Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,sad lo-fi
Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu,Sista Prod,156188.0,4.0
Eyes DonвЂ™t Lie,Tones And I,australian pop
Eyes Off You,PRETTYMUCH,boy band
F*ck Love,Lund,cloud rap
FAKE SMILE,GREEN ORXNGE,drift phonk
FIGHT!,MoonDeity,gym phonk
FOOL'S GOLD,Aries,
FOOLS,Troye Sivan,australian pop
FTV,WILLIS,alabama indie
FUCK THE CLUB (feat. GOLDN),chillpill,
FULL SEND,BLXCKBUSTA,drift phonk
Face My Fears (Japanese Version),Hikaru Utada,anime
Face To Face,Ruel,alt z
Fade Away,Low Roar,icelandic indie
Fade Away,Narysal,
Fade Away,Riley Baron,
Faded,Alan Walker,electro house
Fading,Shallou,electropop
Fading Memories,Adon,chill house
Failed English,AVIV,
Faint,Linkin Park,alternative metal
Fairytale,Alexander Rybak,
Faithless,Ewan J Phillips,british singer-songwriter
Fake,Lauv,pop
Fake A Smile,Alan Walker,electro house
Fake It Til You Make It,DREAMERS,modern alternative rock
Faking It,Sasha Alex Sloan,alt z
Fakira,Vishal-Shekhar,
Fall,Eminem,detroit hip hop
Fall,Francis Karel,indonesian singer-songwriter
Fall,Sasha Alex Sloan,alt z
Fall Away,Lund,cloud rap
Fall In Love Alone - Sped Up Version,Stacey Ryan,
Fall Into Me,Forest Blakk,singer-songwriter pop
Fallen Leaves,Retro Jungle,lo-fi beats
Fallin' Apart,Young Franco,aussietronica
Fallin' Asleep,Dimension 32,lo-fi sleep
Falling,Besomorph,alt z
Falling,Draze,
Falling,Harry Styles,pop
Falling,Phil Good,la pop
Falling Down - Bonus Track,Lil Peep,cloud rap
Falling For You with Justin Bieber,Jaden,pop rap
Falling In Love,Kurt Hugo Schneider,viral pop
Falling Like The Stars,James Arthur,pop
Falling for U,Peachy!,lo-fi beats
Falls (feat. Sasha Alex Sloan),ODESZA,chillwave
False Alarm,The Weeknd,canadian contemporary r&b
False Direction,Dayglow,austindie
Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse,270273,5.0
Famous,Kanye West,chicago rap
Fantasy,Bazzi,pop
Fantasy,"Earth,226065,4.0
Far Away,Peter Fenn,la pop
Fashion,The Royal Concept,shimmer pop
Fast Asleep,Corey J. Beats,lo-fi sleep
Fast Car,Jonas Blue,pop
Fast Lane,Bad Meets Evil,detroit hip hop
Fast Lane,Palm Trees,dutch pop
Fathom the Bowl,Linda Morrison,shanty
Favor,Vindata,future bass
Favorite,TroyBoi,bass trap
Favorite Girl,Justin Bieber,canadian pop
Favorite What If,Ashley Kutcher,alt z
Feather,Bcalm,focus beats
Febreze (feat. 2 Chainz),Jack Гњ,edm
Fee des Lilas (Variation VI),Pyotr Ilyich Tchaikovsky,classical
Feel Again (Feat. Au/Ra),Kina,sad lo-fi
Feel Alright,Poolside,indie soul
Feel Good Drag,Anberlin,christian alternative rock
Feel It Still,Sofia Carson,pop
Feel Love,Suriel Hess,singer-songwriter pop
Feel My Love,KK,filmi
Feel So Good,Lvly,scandipop
Feeling Whitney,Post Malone,dfw rap
Feelings,Lauv,pop
Feels,AP Dhillon,desi hip hop
Feels Like,Gracie Abrams,alt z
Feels Like Summer,Childish Gambino,atl hip hop
Feels So Easy,Ber,alt z
Feet Don't Fail Me Now,Joy Crookes,alternative r&b
Felted,Tom Doolie,lo-fi beats
Fever,Luca,chill house
Fiction,Lund,cloud rap
Fight Back,NEFFEX,
Fight Club,Lorne Balfe,british soundtrack
Fighters,Conro,canadian electronic
Figure.09,Linkin Park,alternative metal
Final Masquerade,Linkin Park,alternative metal
Finale (feat. Nicholas Petricca),Madeon,complextro
Find Yourself,Great Good Fine Ok,hopebeat
Finesse,Pheelz,afrobeats
Fingers Crossed,Trevor Daniel,melodic rap
Fire Again,VALORANT,video game music
Fire Camp,Dimension 32,lo-fi sleep
Fire and the Flood,Vance Joy,folk-pop
Fireflies,Owl City,indietronica
Firestone,Kygo,edm
First Christmas (That I Loved You) (From The Netflix Film Let It Snow),Shameik Moore,
First Class,Jack Harlow,deep underground hip hop
First Date,Adib Sin,
First Echo,Masakatsu Takagi,anime score
First Grade,Lauv,pop
First Place,bГјlow,alt z
First Step,Hans Zimmer,german soundtrack
First of the Year (Equinox),Skrillex,brostep
First view of tokyo,RADWIMPS,j-pop
Fish in the Sea,Michiel Schrey,shanty
Fixed,New Hope Club,boy band
Fixed Heart,Gerardo MillГЎn,lo-fi study
Flaws,Yoste,chill pop
Flight Risk,Tommy Lefroy,indie pop
Flightless Bird, American Mouth,1624716,3.0
Flite,The Cinematic Orchestra,downtempo
Floating Between,Obie Hans,lo-fi jazzhop
Floating Castle,Bcalm,focus beats
Floating Dead Leaves,Kato,anime lo-fi
Floating Dead Leaves Piano,Kato,anime lo-fi
Flowers,The Neighbourhood,modern alternative rock
Flowers,The Red Pears,indie garage rock
Fly Away,Tones And I,australian pop
Fly Away - Extended Mix,Digital Planet,
Fly Down,Stephen,la pop
Fly Me To The Moon,Frank Sinatra,adult standards
Fly Me To The Moon (In Other Words),Frank Sinatra,adult standards
Fly Me To The Moon - 2008 Remastered,Frank Sinatra,adult standards
Fly Me to the Moon,Joytastic Sarah,
Fly Out West,Yot Club,bedroom pop
Flying Away,Enluv,lo-fi study
Flying Drone,Hans Zimmer,german soundtrack
Fog Remnants,luvwn,
Follow,Crystal Fighters,
Follow Me,Levianth,
Follow Through,Devin Kennedy,indie r&b
Follow You,Imagine Dragons,modern rock
Follow the Signal,Curtis Schweitzer,indie game soundtrack
Followers,AREA21,
Fond,nodisco.,hopebeat
Foolish Of Me (feat. Jonathan Mendelsohn),Seven Lions,brostep
Footprints - Mokita Remix,Morgan Page,edm
For Aisha (Featured in "The Sky Is Pink"),MEMBA,
For Anna,Austin Blue,
For My Hand (feat. Ed Sheeran),Burna Boy,afrobeats
For Now,Lauv,pop
For Now,Sam Fischer,australian pop
For You (With Rita Ora),Liam Payne,pop
Ford vs. Ferrari Pt. I - The Rise of Enzo Ferrari,Past Gas by Donut Media,
Foresight,Lund,cloud rap
Forest Nap,LoFiPГёwder,
Forever,Chris Brown,r&b
Forever,Joe Turner,
Forever,Labrinth,indie poptimism
Forever,Lewis Capaldi,pop
Forever,ilyTOMMY,aesthetic rap
Forever & Always,Zeph,gen z singer-songwriter
Forever Dumb,Surf Curse,dreamo
Forever With You,Keenan Te,gen z singer-songwriter
Forever Young,Boy In Space,alt z
Forget,Wilder Gray,
Forget About You,Devin Kennedy,indie r&b
Forgive Me (feat. Izzy Bizu),ODESZA,
Forgot 2 Die,Foreign Forest,emo rap
Formula,Labrinth,indie poptimism
Fortunate Son,Creedence Clearwater Revival,classic rock
Foundations,Curtis Schweitzer,indie game soundtrack
Four,Lana Lubany,
Four Corners,Young Ejecta,solipsynthm
Fractions,Juniper Vale,
Fragile (Orchestrated),Midge Ure,new romantic
Frankenstein,Claire Rosinkranz,alt z
Freak Like That,Austin George,dark r&b
Freaks,Surf Curse,dreamo
Freaks,Television Blonde,
Freaks,Timmy Trumpet,australian dance
Freckles,Curtis Waters,
Free - From Disney's "The One And Only Ivan",Charlie Puth,pop
Free Bird,Lynyrd Skynyrd,album rock
Free Me,NEFFEX,
Free Spirit,Dimension 32,lo-fi sleep
Free Time,Ruel,alt z
Frgt/10 (Alchemist Reanimation) [feat. Chali 2na],Linkin Park,alternative metal
Friends,Chase Atlantic,alternative r&b
Friends Don't Keep Secrets,Stephen Dawes,singer-songwriter pop
From Gold,Novo Amor,ambient folk
From Here,CloudNone,
From Me, the Moon,1169419,4.0
From Now On,Hugh Jackman,hollywood
From The Lake To The Land,Foreign Fields,ambient folk
From the Inside,Linkin Park,alternative metal
Frost,Oatmello,lo-fi beats
Fuck Up the Friendship,Leah Kate,alt z
Full Control - Original Mix,Physical Phase,
Full Moon,The Black Ghosts,
Full Throttle - Acoustic,Ben Schuller,otacore
Fumari,Peach Tree Rascals,pov: indie
Fumes,EDEN,indie poptimism
Funambule,Dimension 32,lo-fi sleep
Funeral,Phoebe Bridgers,indie pop
Futura,Battles,experimental pop
FГјr Elise,Betoven Collection,
FГјr Elise, WoO 59,13746,3.0
G.O.A.T.,Diljit Dosanjh,filmi
GLOCK GLOCK,$ober,
GLOW,CORSAK,chinese electropop
GLOW,bear bear & friends,
GO!,MoonDeity,gym phonk
GODMODE,4WHEEL,drift phonk
GOING MAD,Kardanas,
GOOD DIE YOUNG,Elley DuhГ©,alt z
GOSHA,$NOT,aesthetic rap
GROWING UP IS _____,Ruel,alt z
Galaxies,Protostar,gaming edm
Galvanize,The Chemical Brothers,alternative dance
Galway Girl,Ed Sheeran,pop
Gamanisu,Sonu Nigam,filmi
Gambare Gambare Senpai,nessei,
Game On,Eygency,
Gang Shit No Lame Shit,Key Glock,memphis hip hop
Gangnam Style (к°•л‚ЁмЉ¤нѓЂмќј),PSY,k-rap
Gangsta's Paradise,Coolio,g funk
Garbage Truck,Sex Bob-Omb,
Garmi (From "Street Dancer 3D") (feat. Varun Dhawan),Badshah,
Gasoline,Nic D,singer-songwriter pop
Gaytime In Goa - Instrumental,Uttam Singh,classic bollywood
Gbraakon Escape,Curtis Schweitzer,indie game soundtrack
Gehraiyaan Title Track (From "Gehraiyaan"),OAFF,
Genda Phool,Rekha Bhardwaj,filmi
Gentle Night,C4C,chillhop
Geronimo,Sheppard,australian indie
Get Me out of Here,Mindme,
Get StГјpid,bГјlow,alt z
Get You The Moon (feat. SnГёw),Kina,sad lo-fi
Getcha Some,Chevy Woods,pittsburgh rap
Getting Old,Pontifexx,brazilian edm
Ghalat Fehmi - From "Superstar",Asim Azhar,desi pop
Ghosst,Lorn,glitch hop
Ghost,Au/Ra,alt z
Ghost,Justin Bieber,canadian pop
Ghost,Magdalena Bay,la pop
Ghost,Nico Collins,
Ghost In A Flower (From "A Whisker Away"),Akano,
Ghost Of You,5 Seconds of Summer,boy band
Ghost Town,Layto,dark r&b
Ghosts,Mike Shinoda,alternative hip hop
Ghosts,The Presets,alternative dance
Giant,Vampire Weekend,baroque pop
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop
GigaChad Theme (Phonk House Version) - Sped Up,g3ox_em,gym phonk
GigaChad Theme - Phonk House Version,g3ox_em,gym phonk
Gilded Lily - Sped Up,Cults,experimental pop
Gimme Love,Joji,viral pop
Gimme That Sunshine,Animal Island,bossbeat
Gimme Twice,The Royal Concept,shimmer pop
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop
Girei (Pain's Theme),Kato,anime lo-fi
Girei Piano (Pain's Theme),Kato,anime lo-fi
Girl And The Sea,The Presets,alternative dance
Girl from the North Country,Bob Dylan,classic rock
Girlfriend,Charlie Puth,pop
Girlfriend,Christine and the Queens,art pop
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop
Give & Take,John Marc,
Give Me Something,Seafret,folk-pop
Give Me Your Forever,Zack Tabudlo,acoustic opm
Give Me an Answer,Low Roar,icelandic indie
Give Up,Low Roar,icelandic indie
Giving Up the Gun,Vampire Weekend,baroque pop
Glad You Exist,Dan + Shay,contemporary country
Glimpse of Us,Joji,viral pop
Glory Box,Portishead,alternative rock
Gna Gna,Super Sako,armenian hip hop
Go Flex,Post Malone,dfw rap
Go Fuck Yourself,Two Feet,indie poptimism
Go Go Naruto! (From "Naruto"),Lofeeler,
Go!Go!Here We Go!гѓ­гѓѓг‚Їгѓ»гѓЄгѓј(дё­еЌ’ver.),Shiritsu Ebisu Chugaku,j-idol
God's Plan,Drake,canadian hip hop
God's Revenge,Feerix,gym phonk
Godzilla (feat. Juice WRLD),Eminem,detroit hip hop
Gold,Kiiara,alt z
Gold,Lund,cloud rap
Golden,Riley Baron,
Golden Eyes,Layto,dark r&b
Golden Hours,Yasumu,lo-fi study
Goliath,Woodkid,chamber pop
Gone,Blake Rose,australian electropop
Gone,Dimension 32,lo-fi sleep
Gone,ELI,children's folk
Gone,Sky McCreery,gen z singer-songwriter
Gone, Gone,Phillip Phillips,209693.0,4.0
Gonna Be Okay,Brent Morgan,gen z singer-songwriter
Good As Gold,Greyson Chance,post-teen pop
Good Fortune,PJ Harvey,alternative rock
Good Goodbye (feat. Pusha T and Stormzy),Linkin Park,alternative metal
Good Morning Ladies,Sean Dagher,shanty
Good News,Yoshi Flower,detroit indie
Good Old-Fashioned Lover Boy - Remastered 2011,Queen,classic rock
Good Ones - THAT KIND Remix,Charli XCX,art pop
Good Thing,Suriel Hess,singer-songwriter pop
Good Vibes,HRVY,pop
Goodbye,Apparat,ambient pop
Goodbye,CryJaxx,traprun
Goodbye,Mokita,chill pop
Goodbye,Skan,traprun
Goodbye - Theme from Dark, a Netflix Original Series,313,
Goodbyes (feat. Young Thug),Post Malone,dfw rap
Goodie Bag,Still Woozy,bedroom pop
Goodnight Moon,Shivaree,
Gory Love,Calabasas,
Goshintai,RADWIMPS,j-pop
Gosia,Low Roar,icelandic indie
Got Me Stone Cold,Tape Machines,scandipop
Gotoubun no Katachi,дё­й‡Ће®¶гЃ®дє”гЃ¤е­ђ,
Gotoubun no Kimochi,дё­й‡Ће®¶гЃ®дє”гЃ¤е­ђ,
Gotta Be A Reason,Alec Benjamin,alt z
Gotta Get Up,Harry Nilsson,classic rock
Grand Escape (feat. Toko Miura),RADWIMPS,j-pop
Gravity,BUMP OF CHICKEN,j-pop
Gravity,SLANDER,brostep
Great Balls Of Fire - Live,Miles Teller,
Green Light,Marlhy,
Grey,Why Don't We,boy band
Grief and Sorrow (From "Naruto"),MoisГ©s Nieto,
Grim,Lund,cloud rap
Grip,Seeb,pop dance
Grow As We Go,Ben Platt,broadway
Growing Up,kyu,lo-fi study
Guillotine,Jon Bellion,indie pop rap
Guitar Sikhda,Jassie Gill,desi pop
Gulabi Ankhen - From "The Train",Mohammed Rafi,classic bollywood
Guren Theme,Chasing Mirrors,
Gypsy,G.D. Kaur,
H! Vltg3 (Evidence Reanimation) [feat. Pharoahe Monch and DJ Babu],Linkin Park,alternative metal
HAPPINESS,NEEDTOBREATHE,ccm
HATE MY GUTS,blackbear,pop
HEADLIGHTS FLASHES,HXVRMXN,drift phonk
HEART RATE,CURSEDEVIL,gym phonk
HEARTBROKEN,blackbear,pop
HELLDRIFT 2,HXI,
HIGH1X,blackbear,pop
HIT THE GAS,gelowler,drift phonk
HOLIDAY,Lil Nas X,lgbtq+ hip hop
HOME,WESLEY,
HUMBLE.,Kendrick Lamar,conscious hip hop
HUMBLE. - SKRILLEX REMIX,Skrillex,brostep
HYDRA,FORGOTTENAGE,drift phonk
Haan Tu Hain,Pritam,filmi
Habits,Scott Bradlee's Postmodern Jukebox,jazz cover
Hai Mera Dil,Alfaaz,
Hair Toss, Arms Crossed,315702,4.0
Halcyon,Tibeauthetraveler,lo-fi study
Hale Dil,Harshit Saxena,filmi
Half A Man,Dean Lewis,australian pop
Half As Much,Hank Williams,country
Half Asleep,Low Roar,icelandic indie
Half of Me - Acoustic,Yasmeen,
Hall of Fame (feat. will.i.am),The Script,celtic rock
Hallowed,Lund,cloud rap
Halo,Martin O'Donnell,scorecore
Hammers,Alec Benjamin,alt z
Hand Over Hand,Roland Faunte,brooklyn indie
HandClap,Fitz and The Tantrums,la indie
Hands Held High,Linkin Park,alternative metal
Hands On You,Austin George,dark r&b
Hang Up,WRLD,complextro
Hannah Hunt,Vampire Weekend,baroque pop
Hannah Montana,Nico Collins,
Happier,Ed Sheeran,pop
Happier,Marshmello,brostep
Happier Than Ever,ASTN,bedroom soul
Happiest Year,Jaymes Young,indie poptimism
Happiness,Mokita,chill pop
Happiness is a butterfly,Lana Del Rey,art pop
Happy,Here At Last,
Happy - From "Despicable Me 2",Pharrell Williams,dance pop
Happy Endings (feat. iann dior and UPSAHL),Mike Shinoda,alternative hip hop
Happy Life,Roland Faunte,brooklyn indie
Har Ek Friend Kamina Hota Hai,Sonu Nigam,filmi
Hard On Yourself,Charlie Puth,pop
Hard Sometimes,Ruel,alt z
Harder (with Bebe Rexha),Jax Jones,dance pop
Harder, Better, Stronger,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,224693.0,4.0
Hardstyle Girl (Harris & Ford Remix),Hard But Crazy,
Harleys In Hawaii,Katy Perry,pop
Harmony Hall,Vampire Weekend,baroque pop
Haruka Kanata (Naruto),Animelmack,anime latino
Haruka Mirai (From "Black Clover") [Remix],JackonTC,
Harumodoki (From "OreGairu: My Youth Romantic Comedy Is Wrong, As I Expected"),92337,
Harunohi,Aimyon,j-acoustic
Hate,Cat Power,art pop
Hate How Much I Love You,Conor Maynard,post-teen pop
Hate Me,Nico Collins,
Hate Me (with Juice WRLD),Ellie Goulding,indietronica
Hate Me - Acoustic,Nico Collins,
Hate Me If It Helps,Alexander 23,alt z
Hate Me!,MASN,sad rap
Hate Myself,NF,hip hop
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,chicago rap
Hate The Way (feat. blackbear),G-Eazy,indie pop rap
Hate You,Jim Yosef,gaming edm
Hate You + Love You (feat. AJ Mitchell),Cheat Codes,edm
Hatsukoi,дё­й‡Ће®¶гЃ®дє”гЃ¤е­ђ,
Haunt You (feat. chloe moriondo),X Lovers,la pop
Have We Met Before (with Eric Nam),Sarah Barrios,alt z
Have You Ever Seen The Rain,Creedence Clearwater Revival,classic rock
Haven,ENRA,lo-fi study
Hayloft,Mother Mother,pov: indie
Head & Heart (feat. MNEK),Joel Corry,dance pop
Head In Her Heart - Acoustic,Nico Collins,
Head In The Clouds,Hayd,gen z singer-songwriter
Head in Her Heart,Nico Collins,
Headlights,Eminem,detroit hip hop
Heal,Tom Odell,chill pop
Healing,FLETCHER,alt z
Healing,Laffey,lo-fi beats
Hear Me Say,Jonas Blue,pop
Heard Somebody Whistle,Jay-Jay Johanson,swedish electropop
Hearing Damage,Thom Yorke,alternative rock
Heart Attack,Demi Lovato,pop
Heart Attack,Enrique Iglesias,dance pop
Heart Of Gold,Neil Young,canadian singer-songwriter
Heart-Shaped Box,Nirvana,grunge
Heartache,Foreign Forest,emo rap
Heartbeat,Childish Gambino,atl hip hop
Heartbeat (From the вЂњLyle, Lyle, Lyle,https://api.spotify.com/v1/tracks/1gACe11pZiy8Xv3SY0ocyz,https://api.spotify.com/v1/audio-analysis/1gACe11pZiy8Xv3SY0ocyz,140444.0,4.0
Heartbeats,The Knife,alternative dance
Heartbroken,HRVY,pop
Heartburn,Wafia,australian pop
Heat Waves,Glass Animals,gauze pop
Heat Waves (with iann dior),Glass Animals,gauze pop
Heat Waves - Slowed,Glass Animals,gauze pop
Heathens,Twenty One Pilots,modern rock
Heather,Conan Gray,bedroom pop
Heaven,Bazzi,pop
Heaven,FINNEAS,alt z
Heaven,Julia Michaels,pop
Heaven,Mokita,chill pop
Heaven,The Neighbourhood,modern alternative rock
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,edm
Heavy,Rosie Darling,alt z
Heavy (feat. Kiiara),Linkin Park,alternative metal
Heavy Shit,Blake Rose,australian electropop
Heavydirtysoul,Twenty One Pilots,modern rock
Hej Monika - Remix,pewdiepie,antiviral pop
Hell N Back,Bakar,uk alternative hip hop
Hell To The Stars,Harry Hudson,pop r&b
Hell or High Water,The Neighbourhood,modern alternative rock
Hello,Killer Mike,alternative hip hop
Hello Walls,Faron Young,classic country pop
Hello World,Mark Ambor,singer-songwriter pop
Help (feat. Rence),Sarah Barrios,alt z
Help Me Help You (feat. Why Don't We),Logan Paul,social media pop
Help Me Help You (feat. Why Don't We) (GARABATTO Remix),Logan Paul,social media pop
Helplessly,Tatiana Manaois,
Here We Go,WILD,folk-pop
Here We Go Again,The Neighbourhood,modern alternative rock
Here With Me,Marshmello,brostep
Here Without You,3 Doors Down,alternative metal
Herinneringen,Sohn Aelia,sleep
Hero,Family of the Year,stomp and holler
Heroes,Valley Of Wolves,bossbeat
Hey Ari,Lauv,pop
Hey Joe,Charlotte Gainsbourg,art pop
Hey Stupid, I Love You,1513764,4.0
Hey, Good Lookin',2676846,4.0
Hi-Lo,AJ Mitchell,alt z
Hidden Valley,Black Hill,instrumental post-rock
Hide (feat. Seezyn),Juice WRLD,chicago rap
High (& Dua Lipa),Whethan,electropop
High Enough - Slowed,K.Flay,escape room
High Heels,Jaz Dhami,desi pop
High Hopes,Kodaline,irish pop
High School Musical,High School Musical Cast,post-teen pop
Higher,GusGus,electronica
